Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Ticker
2013-01-29,3.93,3.93,3.93,3.93,WIBOR_6M
2013-01-29,3.98,3.98,3.98,3.98,WIBOR_3M
2013-01-29,4.05,4.05,4.05,4.05,WIBOR_1M
2013-01-29,3.53,3.53,3.53,3.53,WIBID_ON
2013-01-28,4.01,4.01,4.01,4.01,WIBOR_ON
2013-01-28,3.94,3.94,3.94,3.94,WIBOR_6M
2013-01-28,3.99,3.99,3.99,3.99,WIBOR_3M
2013-01-28,4.07,4.07,4.07,4.07,WIBOR_1M
2013-01-28,3.71,3.71,3.71,3.71,WIBID_ON
2013-01-25,4.11,4.11,4.11,4.11,WIBOR_ON
2013-01-25,3.95,3.95,3.95,3.95,WIBOR_6M
2013-01-25,4,4,4,4,WIBOR_3M
2013-01-25,4.09,4.09,4.09,4.09,WIBOR_1M
2013-01-25,3.83,3.83,3.83,3.83,WIBID_ON
2013-01-24,4.11,4.11,4.11,4.11,WIBOR_ON
2013-01-24,3.96,3.96,3.96,3.96,WIBOR_6M
2013-01-24,4.01,4.01,4.01,4.01,WIBOR_3M
2013-01-24,4.1,4.1,4.1,4.1,WIBOR_1M
2013-01-24,3.82,3.82,3.82,3.82,WIBID_ON
2013-01-23,4.11,4.11,4.11,4.11,WIBOR_ON
2013-01-23,3.98,3.98,3.98,3.98,WIBOR_6M
2013-01-23,4.03,4.03,4.03,4.03,WIBOR_3M
2013-01-23,4.1,4.1,4.1,4.1,WIBOR_1M
2013-01-23,3.82,3.82,3.82,3.82,WIBID_ON
2013-01-22,4.1,4.1,4.1,4.1,WIBOR_ON
2013-01-22,3.98,3.98,3.98,3.98,WIBOR_6M
2013-01-22,4.03,4.03,4.03,4.03,WIBOR_3M
2013-01-22,4.1,4.1,4.1,4.1,WIBOR_1M
2013-01-22,3.81,3.81,3.81,3.81,WIBID_ON
2013-01-21,4.11,4.11,4.11,4.11,WIBOR_ON
2013-01-21,3.98,3.98,3.98,3.98,WIBOR_6M
2013-01-21,4.03,4.03,4.03,4.03,WIBOR_3M
2013-01-21,4.11,4.11,4.11,4.11,WIBOR_1M
2013-01-21,3.83,3.83,3.83,3.83,WIBID_ON
2013-01-18,4.1,4.1,4.1,4.1,WIBOR_ON
2013-01-18,3.99,3.99,3.99,3.99,WIBOR_6M
2013-01-18,4.03,4.03,4.03,4.03,WIBOR_3M
2013-01-18,4.11,4.11,4.11,4.11,WIBOR_1M
2013-01-18,3.8,3.8,3.8,3.8,WIBID_ON
2013-01-17,4.07,4.07,4.07,4.07,WIBOR_ON
2013-01-17,3.99,3.99,3.99,3.99,WIBOR_6M
2013-01-17,4.03,4.03,4.03,4.03,WIBOR_3M
2013-01-17,4.11,4.11,4.11,4.11,WIBOR_1M
2013-01-17,3.77,3.77,3.77,3.77,WIBID_ON
2013-01-16,4.07,4.07,4.07,4.07,WIBOR_ON
2013-01-16,3.99,3.99,3.99,3.99,WIBOR_6M
2013-01-16,4.03,4.03,4.03,4.03,WIBOR_3M
2013-01-16,4.12,4.12,4.12,4.12,WIBOR_1M
2013-01-16,3.77,3.77,3.77,3.77,WIBID_ON
2013-01-15,4.08,4.08,4.08,4.08,WIBOR_ON
2013-01-15,3.99,3.99,3.99,3.99,WIBOR_6M
2013-01-15,4.03,4.03,4.03,4.03,WIBOR_3M
2013-01-15,4.12,4.12,4.12,4.12,WIBOR_1M
2013-01-15,3.78,3.78,3.78,3.78,WIBID_ON
2013-01-14,4.01,4.01,4.01,4.01,WIBOR_ON
2013-01-14,3.99,3.99,3.99,3.99,WIBOR_6M
2013-01-14,4.03,4.03,4.03,4.03,WIBOR_3M
2013-01-14,4.13,4.13,4.13,4.13,WIBOR_1M
2013-01-14,3.71,3.71,3.71,3.71,WIBID_ON
2013-01-11,4.11,4.11,4.11,4.11,WIBOR_ON
2013-01-11,3.99,3.99,3.99,3.99,WIBOR_6M
2013-01-11,4.03,4.03,4.03,4.03,WIBOR_3M
2013-01-11,4.12,4.12,4.12,4.12,WIBOR_1M
2013-01-11,3.81,3.81,3.81,3.81,WIBID_ON
2013-01-10,4.13,4.13,4.13,4.13,WIBOR_ON
2013-01-10,4,4,4,4,WIBOR_6M
2013-01-10,4.04,4.04,4.04,4.04,WIBOR_3M
2013-01-10,4.13,4.13,4.13,4.13,WIBOR_1M
2013-01-10,3.83,3.83,3.83,3.83,WIBID_ON
2013-01-09,4.15,4.15,4.15,4.15,WIBOR_ON
2013-01-09,4.01,4.01,4.01,4.01,WIBOR_6M
2013-01-09,4.05,4.05,4.05,4.05,WIBOR_3M
2013-01-09,4.15,4.15,4.15,4.15,WIBOR_1M
2013-01-09,3.85,3.85,3.85,3.85,WIBID_ON
2013-01-08,4.2,4.2,4.2,4.2,WIBOR_ON
2013-01-08,4.02,4.02,4.02,4.02,WIBOR_6M
2013-01-08,4.06,4.06,4.06,4.06,WIBOR_3M
2013-01-08,4.16,4.16,4.16,4.16,WIBOR_1M
2013-01-08,3.9,3.9,3.9,3.9,WIBID_ON
2013-01-07,4.25,4.25,4.25,4.25,WIBOR_ON
2013-01-07,4.03,4.03,4.03,4.03,WIBOR_6M
2013-01-07,4.07,4.07,4.07,4.07,WIBOR_3M
2013-01-07,4.17,4.17,4.17,4.17,WIBOR_1M
2013-01-07,3.95,3.95,3.95,3.95,WIBID_ON
2013-01-04,4.25,4.25,4.25,4.25,WIBOR_ON
2013-01-04,4.04,4.04,4.04,4.04,WIBOR_6M
2013-01-04,4.08,4.08,4.08,4.08,WIBOR_3M
2013-01-04,4.18,4.18,4.18,4.18,WIBOR_1M
2013-01-04,3.95,3.95,3.95,3.95,WIBID_ON
2013-01-03,4.15,4.15,4.15,4.15,WIBOR_ON
2013-01-03,4.05,4.05,4.05,4.05,WIBOR_6M
2013-01-03,4.09,4.09,4.09,4.09,WIBOR_3M
2013-01-03,4.19,4.19,4.19,4.19,WIBOR_1M
2013-01-03,3.85,3.85,3.85,3.85,WIBID_ON
2013-01-02,4.19,4.19,4.19,4.19,WIBOR_ON
2013-01-02,4.06,4.06,4.06,4.06,WIBOR_6M
2013-01-02,4.1,4.1,4.1,4.1,WIBOR_3M
2013-01-02,4.2,4.2,4.2,4.2,WIBOR_1M
2013-01-02,3.89,3.89,3.89,3.89,WIBID_ON
2012-12-31,4.3,4.3,4.3,4.3,WIBOR_ON
2012-12-31,4.08,4.08,4.08,4.08,WIBOR_6M
2012-12-31,4.11,4.11,4.11,4.11,WIBOR_3M
2012-12-31,4.21,4.21,4.21,4.21,WIBOR_1M
2012-12-31,4,4,4,4,WIBID_ON
2012-12-28,4.3,4.3,4.3,4.3,WIBOR_ON
2012-12-28,4.09,4.09,4.09,4.09,WIBOR_6M
2012-12-28,4.13,4.13,4.13,4.13,WIBOR_3M
2012-12-28,4.22,4.22,4.22,4.22,WIBOR_1M
2012-12-28,4,4,4,4,WIBID_ON
2012-12-27,3.83,3.83,3.83,3.83,WIBOR_ON
2012-12-27,4.1,4.1,4.1,4.1,WIBOR_6M
2012-12-27,4.14,4.14,4.14,4.14,WIBOR_3M
2012-12-27,4.23,4.23,4.23,4.23,WIBOR_1M
